YAL008W	597	99.0	223.0	195.0	235.0
YBR255W	2085	97.0	279.0	176.0	211.0
YGR164W	336	7.0	10.0	11.0	4.0
YGR131W	525	10.0	24.0	9.0	9.0
YNL003C	855	106.0	144.0	214.0	175.0
YBR135W	453	125.0	142.0	135.0	173.0
YBR160W	897	196.0	306.0	291.0	279.0
YJL082W	2196	212.0	373.0	454.0	516.0
YJL142C	393	45.0	145.0	73.0	99.0
YPL191C	1083	50.0	81.0	82.0	92.0
YGL215W	1359	825.0	826.0	948.0	1758.0
YKL074C	1584	92.0	219.0	92.0	80.0
YLR467C-A	483	0.0	1.0	1.0	0.0
YJL077C	396	3.0	4.0	4.0	0.0
YKL096W-A	279	204.0	557.0	658.0	546.0
YIL124W	894	343.0	992.0	800.0	696.0
YLR364C-A	123	2.0	0.0	5.0	3.0
YIL171W	330	2.0	1.0	6.0	2.0
YPL039W	951	62.0	107.0	82.0	90.0
YNL170W	396	6.0	12.0	23.0	21.0
YKL048C	1923	79.0	210.0	113.0	118.0
YJL179W	330	103.0	181.0	117.0	145.0
YDR316W-A	1323	2997.0	2948.0	3055.0	4474.0
YDR316W-B	5268	11046.0	11143.0	11480.0	15656.0
YKL083W	615	5.0	10.0	36.0	2.0
YBR152W	876	40.0	67.0	70.0	45.0
YKL029C	2010	1060.0	1314.0	787.0	551.0
YPL166W	642	32.0	78.0	66.0	62.0
YKL052C	879	78.0	151.0	74.0	103.0
YHR025W	1074	1410.0	2074.0	1184.0	1511.0
YOL034W	3282	156.0	304.0	293.0	242.0
YBL008W	2523	227.0	249.0	228.0	193.0
YIL062C	465	327.0	689.0	407.0	487.0
YCL023C	348	0.0	2.0	0.0	0.0
tC(GCA)P1	72	25413.0	27412.0	26316.0	27841.0
tC(GCA)P2	72	24888.0	27339.0	26428.0	27510.0
YOL116W	1149	87.0	128.0	134.0	131.0
YDR196C	726	119.0	261.0	128.0	148.0
YBR280C	1914	69.0	283.0	196.0	206.0
YNR032W	1107	105.0	199.0	167.0	194.0
YNR045W	1470	67.0	162.0	192.0	167.0
YML105C	822	255.0	500.0	300.0	323.0
YNL288W	1122	193.0	484.0	285.0	281.0
tI(AAU)P2	74	17358.0	21885.0	23508.0	18355.0
tI(AAU)P1	74	42916.0	52734.0	52648.0	48146.0
YIL059C	366	13.0	43.0	25.0	59.0
YIL004C	429	102.0	174.0	114.0	152.0
YNR018W	675	393.0	726.0	552.0	707.0
YPL144W	447	80.0	155.0	130.0	125.0
YFR047C	888	268.0	429.0	494.0	536.0
YHR078W	1659	202.0	319.0	242.0	323.0
YIR023C-A	324	0.0	2.0	0.0	1.0
YJR115W	510	14.0	49.0	16.0	23.0
YLR355C	1188	10145.0	22943.0	12121.0	12612.0
YGR099W	2067	147.0	261.0	167.0	176.0
YLR300W	1347	2716.0	7300.0	4074.0	3606.0
YCL028W	1218	673.0	1145.0	758.0	1163.0
YJR140C	4947	367.0	624.0	448.0	599.0
YOR033C	2109	160.0	311.0	243.0	221.0
YOR062C	807	21.0	205.0	26.0	33.0
YBR043C	2070	153.0	518.0	252.0	234.0
YHR112C	1137	182.0	350.0	202.0	299.0
YLR011W	576	37.0	78.0	63.0	57.0
YHR007C	1593	3724.0	3984.0	2511.0	2739.0
YHR126C	480	1.0	1.0	7.0	3.0
YKR084C	1836	407.0	638.0	519.0	627.0
YER121W	345	4.0	16.0	20.0	36.0
