YAL008W	597	0.3	0.3	0.3	69.0	161.0	148.0	171.0
YBR255W	2085	0.3	0.3	0.3	86.0	201.0	146.0	140.0
YGR164W	336	0.3	0.3	0.4	5.0	9.0	13.0	6.0
YGR131W	525	0.3	0.3	0.3	5.0	13.0	7.0	8.0
YNL003C	855	0.3	0.3	0.3	76.0	104.0	146.0	127.0
YBR135W	453	0.4	0.3	0.3	85.0	109.0	89.0	143.0
YBR160W	897	0.4	0.3	0.3	130.0	218.0	195.0	215.0
YJL082W	2196	0.4	0.3	0.3	164.0	282.0	330.0	390.0
YJL142C	393	0.3	0.3	0.4	36.0	107.0	47.0	63.0
YPL191C	1083	0.4	0.3	0.3	38.0	66.0	57.0	64.0
YGL215W	1359	0.4	0.3	0.3	596.0	613.0	689.0	1238.0
YKL074C	1584	0.4	0.3	0.3	66.0	131.0	75.0	69.0
YLR467C-A	483	0.3	0.3	0.3	0.0	0.0	1.0	0.0
YJL077C	396	0.3	0.3	0.3	4.0	4.0	2.0	0.0
YKL096W-A	279	0.8	0.3	0.3	145.0	422.0	465.0	428.0
YIL124W	894	0.4	0.3	0.3	261.0	681.0	617.0	525.0
YLR364C-A	123	0.3	0.3	0.3	2.0	0.0	4.0	2.0
YIL171W	330	0.4	0.3	0.3	2.0	1.0	3.0	2.0
YPL039W	951	0.3	0.3	0.3	47.0	76.0	52.0	65.0
YNL170W	396	0.4	0.4	0.4	4.0	8.0	13.0	17.0
YKL048C	1923	0.3	0.3	0.3	62.0	162.0	70.0	77.0
YJL179W	330	0.4	0.4	0.4	78.0	130.0	95.0	111.0
YDR316W-A	1323	0.4	0.3	0.3	2180.0	2140.0	2187.0	3280.0
YDR316W-B	5268	0.4	0.3	0.3	8039.0	8111.0	8385.0	11484.0
YKL083W	615	0.3	0.3	0.3	3.0	8.0	20.0	1.0
YBR152W	876	0.4	0.3	0.3	28.0	51.0	59.0	42.0
YKL029C	2010	0.5	0.3	0.3	763.0	948.0	579.0	414.0
YPL166W	642	0.4	0.3	0.3	28.0	51.0	43.0	35.0
YKL052C	879	0.3	0.3	0.3	59.0	101.0	53.0	84.0
YHR025W	1074	0.5	0.3	0.3	1022.0	1524.0	844.0	1076.0
YOL034W	3282	0.4	0.3	0.3	125.0	199.0	220.0	169.0
YBL008W	2523	0.4	0.3	0.3	150.0	198.0	166.0	123.0
YIL062C	465	0.4	0.3	0.3	235.0	475.0	304.0	353.0
YCL023C	348	0.3	0.3	0.3	0.0	3.0	0.0	1.0
YOL116W	1149	0.3	0.3	0.3	67.0	95.0	95.0	90.0
YDR196C	726	0.4	0.3	0.3	88.0	168.0	98.0	119.0
YBR280C	1914	0.4	0.3	0.3	63.0	212.0	145.0	147.0
YNR032W	1107	0.4	0.3	0.3	87.0	135.0	134.0	141.0
YNR045W	1470	0.3	0.3	0.3	57.0	125.0	137.0	127.0
YML105C	822	0.4	0.3	0.3	181.0	363.0	239.0	231.0
YNL288W	1122	0.4	0.3	0.3	146.0	360.0	198.0	202.0
YIL059C	366	0.3	0.3	0.3	9.0	35.0	16.0	41.0
YIL004C	429	0.3	0.3	0.3	72.0	124.0	88.0	111.0
YNR018W	675	0.4	0.3	0.3	315.0	519.0	403.0	530.0
YPL144W	447	0.3	0.3	0.3	47.0	113.0	98.0	79.0
YFR047C	888	0.4	0.3	0.3	204.0	301.0	349.0	397.0
YHR078W	1659	0.3	0.3	0.4	131.0	230.0	183.0	231.0
YIR023C-A	324	0.3	0.3	0.4	0.0	2.0	0.0	2.0
YJR115W	510	0.3	0.3	0.3	9.0	30.0	9.0	22.0
YLR355C	1188	0.8	0.3	0.3	7444.0	16877.0	8754.0	9376.0
YGR099W	2067	0.3	0.3	0.3	99.0	205.0	125.0	132.0
YLR300W	1347	0.6	0.3	0.3	1967.0	5378.0	2982.0	2636.0
YCL028W	1218	0.4	0.3	0.3	470.0	801.0	557.0	861.0
YJR140C	4947	0.4	0.3	0.3	267.0	466.0	337.0	412.0
YOR033C	2109	0.4	0.3	0.3	115.0	227.0	167.0	178.0
YOR062C	807	0.3	0.3	0.3	16.0	163.0	19.0	20.0
YBR043C	2070	0.4	0.3	0.3	127.0	377.0	189.0	182.0
YHR112C	1137	0.4	0.3	0.3	131.0	244.0	145.0	221.0
YLR011W	576	0.3	0.3	0.3	22.0	56.0	46.0	40.0
YHR007C	1593	0.7	0.3	0.3	2746.0	2947.0	1898.0	2057.0
